UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100130508124W403,100/13-05-081-24W4/03,0197420,COMMINGLED,AGAT Laboratories Ltd.,323.0,396.5,N,WELLHEAD,200.0,8.0,130.0,21.0,0.0,0.0059,0.0021,0.0001,0.0001,0.9874,0.0017,0.0004,0.0007,0.0006,0.0003,0.0002,0.0002,0.0003,,,,,0.566,16.4,,38.01,4609.75,191.93,104.9,AB,2015-06-02
100130508124W403,100/13-05-081-24W4/03,0197420,CLEARWATER,AGAT Laboratories Ltd.,323.0,396.5,N,WELLHEAD,110.0,8.0,125.0,21.0,0.0,0.0041,0.0041,0.0002,0.0001,0.9854,0.0015,0.0018,0.0007,0.0007,0.0005,0.0003,0.0003,0.0003,,,,,0.567,16.4,,38.07,4600.86,191.94,104.9,AB,2012-06-07
100130508124W403,100/13-05-081-24W4/03,0197420,COMMINGLED,AGAT Laboratories Ltd.,323.0,396.5,N,WELLHEAD,100.0,8.0,120.0,21.0,0.0,0.0053,0.0027,0.0003,0.0002,0.9874,0.0016,0.0004,0.0007,0.0006,0.0004,0.0002,0.0002,0.0,,,,,0.565,16.4,,37.94,4606.7,191.68,,AB,2014-04-12
100141708124W402,100/14-17-081-24W4/02,0138271,COMMINGLED,AGAT Laboratories Ltd.,434.0,436.5,N,WELLHEAD,540.0,5.0,530.0,21.0,0.0,0.0217,0.0037,0.0006,0.0001,0.9726,0.0007,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0002,,,,,0.578,16.7,,37.71,4651.78,192.93,121.2,AB,2011-11-16
100151908124W402,100/15-19-081-24W4/02,0299141,COMMINGLED POOL 001,AGAT Laboratories Ltd.,366.0,394.5,N,WELLHEAD,100.0,8.0,230.0,21.0,0.0,0.0151,0.0023,0.0001,0.0002,0.98,0.001,0.0002,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,,,,,0.572,16.6,,37.84,4635.94,192.51,100.2,AB,2014-04-04
100151908124W402,100/15-19-081-24W4/02,0299141,COMMINGLED,AGAT Laboratories Ltd.,366.0,394.5,N,WELLHEAD,200.0,8.0,150.0,21.0,0.0,0.0146,0.0021,0.0001,0.0002,0.9803,0.0012,0.0002,0.0004,0.0004,0.0002,0.0001,0.0001,0.0001,,,,,0.572,16.6,,37.87,4634.67,192.53,100.2,AB,2015-06-02
100151908124W402,100/15-19-081-24W4/02,0299141,COMMINGLED,AGAT Laboratories Ltd.,366.0,394.5,N,WELLHEAD,110.0,8.0,120.0,21.0,0.0,0.0077,0.0016,0.0002,0.0002,0.9857,0.0014,0.0004,0.0008,0.0008,0.0003,0.0002,0.0002,0.0005,,,,,0.568,16.5,,38.08,4613.8,192.24,111.4,AB,2012-06-08
100152908024W402,100/15-29-080-24W4/02,0265921,COMMINGLED,AGAT Laboratories Ltd.,312.7,372.0,N,WELLHEAD,200.0,8.0,650.0,21.0,0.0,0.0017,0.004,0.0,0.0001,0.9895,0.0014,0.0006,0.0008,0.0008,0.0005,0.0003,0.0002,0.0001,,,,,0.563,16.3,,37.97,4595.75,191.42,100.2,AB,2015-07-02
100152908024W402,100/15-29-080-24W4/02,0265921,COMMINGLED POOL 001,AGAT Laboratories Ltd.,312.7,372.0,N,WELLHEAD,100.0,8.0,870.0,21.0,0.0,0.0016,0.0045,0.0,0.0001,0.9897,0.0014,0.0005,0.0006,0.0006,0.0004,0.0003,0.0002,0.0001,,,,,0.562,16.3,,37.9,4595.38,191.24,100.2,AB,2014-04-07
100152908024W402,100/15-29-080-24W4/02,0265921,COMMINGLED,AGAT Laboratories Ltd.,312.7,372.0,N,WELLHEAD,320.0,8.0,400.0,21.0,0.0,0.0018,0.0051,0.0005,0.0001,0.9878,0.0015,0.0005,0.0008,0.0007,0.0005,0.0003,0.0002,0.0002,,,,,0.563,16.3,,37.92,4592.98,191.29,107.2,AB,2012-07-06
102060808124W400,102/06-08-081-24W4/00,0233567,COMMINGLED,AGAT Laboratories Ltd.,350.0,413.3,N,WELLHEAD,200.0,8.0,140.0,21.0,0.0,0.0043,0.0132,0.0014,0.0002,0.9758,0.0013,0.0006,0.0008,0.0008,0.0005,0.0003,0.0003,0.0005,,,,,0.57,16.5,,37.66,4585.86,191.05,105.8,AB,2015-06-04
102060808124W400,102/06-08-081-24W4/00,0233567,COMMINGLED,AGAT Laboratories Ltd.,350.0,413.3,N,WELLHEAD,80.0,5.0,80.0,21.0,0.0,0.0067,0.0035,0.0006,0.0002,0.9819,0.0015,0.0007,0.0009,0.0013,0.0011,0.0009,0.0004,0.0003,,,,,0.572,16.6,,38.23,4605.13,192.54,104.9,AB,2011-11-16
102060808124W400,102/06-08-081-24W4/00,0233567,COMMINGLED,AGAT Laboratories Ltd.,350.0,413.3,N,WELLHEAD,100.0,8.0,350.0,21.0,0.0,0.0044,0.0038,0.0003,0.0002,0.9866,0.0014,0.0004,0.0008,0.0007,0.0005,0.0003,0.0003,0.0003,,,,,0.566,16.4,,38.0,4601.65,191.72,104.9,AB,2014-04-12
102061908124W400,102/06-19-081-24W4/00,0209462,COMMINGLED,AGAT Laboratories Ltd.,307.0,399.0,N,WELLHEAD,60.0,8.0,75.0,21.0,0.0,0.0036,0.0026,0.0029,0.0001,0.983,0.0028,0.0004,0.0009,0.0009,0.0007,0.0004,0.0003,0.0014,,,,,0.569,16.5,,38.33,4589.91,192.08,124.2,AB,2012-06-15
102062008124W402,102/06-20-081-24W4/02,0212052,COMMINGLED,AGAT Laboratories Ltd.,338.0,410.0,N,WELLHEAD,70.0,5.0,115.0,21.0,0.0,0.005,0.0011,0.0003,0.0003,0.989,0.0015,0.0004,0.0008,0.0007,0.0003,0.0002,0.0002,0.0002,,,,,0.564,16.3,,38.03,4606.9,191.81,100.2,AB,2011-11-16
102062008124W402,102/06-20-081-24W4/02,0212052,COMMINGLED POOL 001,AGAT Laboratories Ltd.,338.0,410.0,N,WELLHEAD,200.0,8.0,180.0,21.0,0.0,0.0046,0.0021,0.0,0.0003,0.9888,0.0014,0.0004,0.0008,0.0007,0.0003,0.0002,0.0002,0.0002,,,,,0.564,16.3,,38.0,4605.54,191.73,100.2,AB,2015-06-03
102062008124W402,102/06-20-081-24W4/02,0212052,COMMINGLED POOL 001,AGAT Laboratories Ltd.,338.0,410.0,N,WELLHEAD,100.0,8.0,320.0,21.0,0.0,0.0158,0.0029,0.0001,0.0002,0.9791,0.0008,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,,,,,0.573,16.6,,37.82,4637.0,192.52,109.6,AB,2014-04-06
102100608124W403,102/10-06-081-24W4/03,0182205,COMMINGLED,AGAT Laboratories Ltd.,319.5,389.0,N,WELLHEAD,200.0,8.0,100.0,21.0,0.0,0.0047,0.0019,0.0,0.0002,0.9888,0.0017,0.0004,0.0006,0.0006,0.0003,0.0002,0.0003,0.0003,,,,,0.565,16.4,,38.03,4606.49,191.81,104.9,AB,2015-06-02
102100608124W403,102/10-06-081-24W4/03,0182205,COMMINGLED,AGAT Laboratories Ltd.,319.5,389.0,N,WELLHEAD,100.0,8.0,120.0,21.0,0.0,0.004,0.0053,0.0005,0.0002,0.9851,0.0014,0.0004,0.0006,0.0006,0.0004,0.0003,0.0004,0.0008,,,,,0.567,16.4,,38.0,4597.36,191.66,103.7,AB,2014-04-12
